"Ow, ow, ow, ow, ow!","Ow, ow, ow, ow, ow!","¡Ay, ay, ay, ay!"
"Uau, isso foi louco!","Wow, that was crazy!","Guau, ¡qué locura!"
"Não acredito no quão bem o corpo da minha irmã se sustenta...","I can't believe how well my sister's body holds up...","No puedo creer lo bien que aguanta el tipo el cuerpo de mi hermana..."
"Oof. Unh...","Oof. Unh...","Uf. Ay..."
"Meio... difícil de mover... quando você é apenas uma cabeça.","Kinda...hard to move...when you're just a head.","Es un poco... difícil eso de moverse... cuando eres solamente una cabeza."
"Eu me pergunto onde está todo mundo?","I wonder where everybody is?","¿Dónde está todo el mundo?"
"Mal posso esperar para vê-los novamente!","I can't wait to see them again!","¡Qué ganas de volver a ver a todos!"
"Mas antes que isso possa acontecer, há algumas coisas que eu tenho que fazer primeiro.","But before that can happen, there's some stuff I gotta do first.","Pero antes de que eso ocurra, tengo que encargarme de una cosa."
"Como encontrar um corpo! Ou pelo menos algumas pernas.","Like finding a body! Or at least some legs.","¡Como encontrar un cuerpo! O, al menos, unas piernas."
"Espero que Kainé e Weiss ainda não tenham se matado.<LF>Ugh, você os deixa sozinhos por um minuto e...","I sure hope Kainé and Weiss haven't killed each other yet.<LF>I swear, you leave 'em alone for one minute...","Ojalá que Kainé y Weiss no se hayan matado aún el uno al otro.<LF>Uf, los dejas solos un minuto y..."
