"Você pode salvar Yonah, Weiss.","You can save Yonah, Weiss.","Puedes salvar a Yonah, Weiss."
"É você... não é?","It's you...isn't it?","Eres tú..., ¿verdad?"
"Não! Afaste-se!","No! Stay back!","¡No! ¡No os acerquéis!"
"Enfim... vá com calma, ok?","Anyway...take it easy, yeah?","En fin... Tómatelo con calma, ¿vale? "
"""1.400 anos depois...""","""1,400 years in the future...""","""1400 años más tarde..."""
"""O mundo está à beira da destruição...""<LF>","""The world is on the verge of destruction...""<LF> ","""El mundo está al borde de la destrucción...""<LF> "
"""O mundo está à beira da destruição...""<LF>Esta besta também é uma Sombra?","""The world is on the verge of destruction...""<LF>Is this beast a Shade as well?","""El mundo está al borde de la destrucción...""<LF>¿Esta bestia también es una Sombra?"
"Não! Você tem que parar isso!<LF>Esta besta também é uma Sombra?","No! You've gotta stop this!<LF>Is this beast a Shade as well?","¡No! ¡Debéis detener esto!<LF>¿Esta bestia también es una Sombra?"
"Não! Você tem que parar isso!<LF>","No! You've gotta stop this!<LF> ","¡No! ¡Debéis detener esto!<LF> "
"Não! Você tem que parar isso!<LF>Que esperança um mero peão tem contra Shadowlord?","No! You've gotta stop this!<LF>How could a mere tool hope to stand against the Shadowlord?","¡No! ¡Debéis detener esto!<LF>¿Qué esperanza tiene un simple peón contra el Señor de las sombras?"
"<LF>Que esperança um mero peão tem contra Shadowlord?"," <LF>How could a mere tool hope to stand against the Shadowlord?"," <LF>¿Qué esperanza tiene un simple peón contra el Señor de las sombras?"
"Não quero machucar meus amigos!<LF>Que esperança um mero peão tem contra Shadowlord?","I don't want to hurt my friends!<LF>How could a mere tool hope to stand against the Shadowlord?"," ¡No quiero hacer daño a mis amigos!<LF>¿Qué esperanza tiene un simple peón contra el Señor de las sombras?"
"Não quero machucar meus amigos!<LF>","I don't want to hurt my friends!<LF>"," ¡No quiero hacer daño a mis amigos!<LF> "
"Não quero machucar meus amigos!<LF>Kah hah hah hah hah! Mate-os, seus bastardos gloriosos!","I don't want to hurt my friends!<LF>Kah hah hah hah hah!  Kill 'em, you glorious bastards!"," ¡No quiero hacer daño a mis amigos!<LF>¡Ja, ja, ja! ¡Matadlos a todos, queridos cabrones! ¡Matadlos a todos!"
"<LF>Kah hah hah hah hah! Matem eles, bando de infelizes!"," <LF>Kah hah hah hah hah!  Kill 'em, you glorious bastards!"," <LF>¡Ja, ja, ja! ¡Matadlos a todos, queridos cabrones! ¡Matadlos a todos!"
"Tenho um motivo para viver!<LF>Kah hah hah hah hah! Matem eles, bando de infelizes!"," I have a reason to live!<LF>Kah hah hah hah hah!  Kill 'em, you glorious bastards!","¡Un motivo para vivir!<LF>¡Ja, ja, ja! ¡Matadlos a todos, queridos cabrones! ¡Matadlos a todos!"
"Somos iguais! Peões em um jogo de xadrez!<LF>","We're the same! Tools in the hands of a master!<LF> ","¡Somos iguales! ¡Peones en una partida de ajedrez!<LF> "
"Somos iguais! Peões em um jogo de xadrez!<LF>Isso termina aqui!","We're the same! Tools in the hands of a master!<LF>This ends here!","¡Somos iguales! ¡Peones en una partida de ajedrez!<LF>¡Esto se acaba aquí!"
"<LF>Isso termina aqui!"," <LF>This ends here!"," <LF>¡Esto se acaba aquí!"
"Kainé!<LF>Isso termina aqui!","Kainé!<LF>This ends here!","¡Kainé!<LF>¡Esto se acaba aquí!"
"Kainé!<LF>","Kainé!<LF> ","¡Kainé!"
"Kainé!<LF>Nossas verdadeiras memórias ainda estão lá! Como ousa ignorá-las!?","Kainé!<LF>Our true memories are still there! How dare you ignore them!?","¡Kainé!<LF>¡Nuestros verdaderos recuerdos siguen allí! ¡¿Cómo osas ignorarlos?!"
"<LF>Nossas verdadeiras memórias ainda estão lá! Como ousa ignorá-las!?"," <LF>Our true memories are still there! How dare you ignore them!?"," <LF>¡Nuestros verdaderos recuerdos siguen allí! ¡¿Cómo osas ignorarlos?!"
"Esperávamos adiar por cem anos ou mais.<LF>Nossas verdadeiras memórias ainda estão lá! Como ousa ignorá-las!?","We were hoping to put it off for a hundred years or so.<LF>Our true memories are still there! How dare you ignore them!?","Esperábamos poder postergarlo otros cien años. Hasta la nueva generación.<LF>¡Nuestros verdaderos recuerdos siguen allí! ¡¿Cómo osas ignorarlos?!"
"Esperávamos adiar por cem anos ou mais.<LF>","We were hoping to put it off for a hundred years or so.<LF> ","Esperábamos poder postergarlo otros cien años. Hasta la nueva generación.<LF> "
"Esperávamos adiar por cem anos ou mais.<LF>Vou lutar ao seu lado. Agora e sempre!","We were hoping to put it off for a hundred years or so.<LF>I shall fight by their side. Now...and forever!","Esperábamos poder postergarlo otros cien años. Hasta la nueva generación.<LF>¡Y lucharé junto a ellos! ¡Ahora... y siempre!"
"<LF>Devo lutar ao seu lado. Agora e sempre!"," <LF>I shall fight by their side. Now...and forever!"," <LF>¡Y lucharé junto a ellos! ¡Ahora... y siempre!"
"Estou cansada deste mundo e de todos nele.<LF>Eu lutarei ao seu lado. Agora... e sempre!","I'm tired of this world and everybody in it.<LF>I shall fight by their side. Now...and forever!","Estoy cansada de este mundo y de la gente que vive en él.<LF>¡Y lucharé junto a ellos! ¡Ahora... y siempre!"
"Estou cansada deste mundo e de todos nele.<LF> ","I'm tired of this world and everybody in it.<LF> ","Estoy cansada de este mundo y de la gente que vive en él. <LF> "
"Mas eu vou me tornar sua espada uma última vez!<LF> ","But I'll become his sword one last time!<LF> ","¡Pero me convertiré en su espada una última vez!"
"Mas eu vou me tornar sua espada uma última vez!<LF>Não! Kainé!","But I'll become his sword one last time!<LF>No! Kainé!","¡Pero me convertiré en su espada una última vez!<LF>¡No! ¡Kainé!"
"<LF>Não! Kainé!"," <LF>No! Kainé!"," <LF>¡No! ¡Kainé!"
"Eu vou te salvar. Eu juro!<LF>Não! Kainé!","I'm going to save you. I swear it!<LF>No! Kainé!","Voy a salvarte. ¡Te lo juro!<LF>¡No! ¡Kainé!"
"Eu vou te salvar. Eu juro!<LF>","I'm going to save you. I swear it!<LF>","Voy a salvarte. ¡Te lo juro!<LF> "
"Obrigada por sempre estar ao meu lado.","Thanks for always being there for me.","Gracias por estar siempre ahí."
