"1000","","4","STREAM","EID_0050_a0015g_0010_NIER010_X","0.5","","","","0","25","Afastem-se, seus monstros!"
"1001","","4","STREAM","EID_0050_a0015g_0020_NIER010_X","0.5"," ","","","0","25","Eu vou matar todos vocês!"
"1002","","4","STREAM","EID_0050_a0015g_0030_NIER010_X","0.5","","","","0","",""
"","","4","STREAM","EID_0050_a0022_0010_YONAH010_X","3","","","","0","",""
"1003","","4","STREAM","EID_0050_a0030g_0010_NIER010_X","0.5","","","","0","25","Maldição... Quantos dessas coisas existem?"
"1004","","4","STREAM","EID_0050_a0030g_0020_NIER010_X","0.5","","","","0","25","Eles continuam chegando!"
"1005","","4","STREAM","EID_0050_a0030g_0030_NIER010_X","0.5","","","","0","25","Eu não vou deixar você encostar um dedo na Yonah!"
"1006","","4","STREAM","EID_0050_a0030g_0040_NIER010_X","0.5","","","","0","25",""
"1007","","4","STREAM","EID_0050_a0040g_0020_NIER010_X","0.5","","","","0","25","Eu não vou permitir que você faça isso!"
"1008","","4","STREAM","EID_0050_a0040g_0030_NIER010_X","0.5","","","","0","25","Eu não vou deixar ninguém machucar a Yonah!"
"1009","","4","STREAM","EID_0050_a0040g_0040_NIER010_X","0.5","","","","0","25","Então esse é o poder do livro negro..."
"1010","","4","STREAM","EID_0050_a0040g_0050_NIER010_X","0.5","","","","0","25","Isso é tudo o que você tem!?"
"1011","","4","STREAM","EID_0100_a0020_00414_NIER010_X","3"," ","","","0","2","Bom, droga. Acho que não vou poder atravessar por aqui."
"1012","","4","STREAM","EID_0100_a0020_00415_NIER010_X","0.5","","","","0","2","Maldição! O que essas Sombras estão fazendo tão perto da cidade?"
"1013","","4","STREAM","EID_0100_a0020_00416_NIER010_X","0.5","","","","0","2","Eu não posso deixá-los escapar."
"","","4","STREAM","EID_0100_a0020_00417_NIER010_X","0.5","","","","0","2","Eu tenho que proteger a vila e a Yonah!"
"1014","","4","STREAM","EID_0100_a0020_00418_NIER010_X","3","","","","0","2","Eu não tinha ideia de que as Sombras estavam soltas tão perto da vila..."
"1015","","4","STREAM","EID_0100_a0020_00416_NIER010_X","0.5","","","","0","2","Eu não posso deixá-las escapar."
